date,description
2021-01-01,New Year
2021-01-04,Market Open
2021-02-05,"No Trading
Market opens only for Clearing & Settlement"
2021-02-08,"No Trading
Market opens only for Clearing & Settlement"
2021-02-09,"No Trading
Market opens only for Clearing & Settlement"
2021-02-10,Adjusted Holiday
2021-02-11,Chinese New Year’s Eve
2021-02-12,Chinese New Year
2021-02-13,Chinese New Year
2021-02-14,Chinese New Year
2021-02-15,Chinese New Year
2021-02-16,Chinese New Year
2021-02-17,Market Open
2021-02-28,Peace Memorial Day
2021-03-01, Adjusted Holiday
2021-04-02,Children’s Day
2021-04-03,Tomb-sweeping Day
2021-04-04,Tomb-sweeping Day
2021-04-05,Adjusted Holiday
2021-04-30, Adjusted Holiday
2021-05-01,Labor Day
2021-06-14,Dragon Boat Festival
2021-09-20,"Adjusted Holiday
"
2021-09-21,Mid-autumn / Moon Festival
2021-10-10,National Day
2021-10-11,Adjusted Holiday
2021-12-31,Adjusted Holiday (2021)
2022-01-01,New Year (2022)
2022-01-03,Market Open
2022-01-26,Last Trading Day
2022-01-27,No Trading. Market opens only for Clearing & Settlement.
2022-01-28,No Trading. Market opens only for Clearing & Settlement.
2022-01-31,Chinese New Year’s Eve
2022-02-01,Chinese New Year
2022-02-02,Chinese New Year
2022-02-03,Chinese New Year
2022-02-04,Adjusted Holiday
2022-02-07,Market Open
2022-02-28,Peace Memorial Day
2022-04-04,Children’s Day
2022-04-05,Tomb-sweeping Day
2022-05-01,Labor Day
2022-05-02,Adjusted Holiday
2022-06-03,Dragon Boat Festival
2022-09-09,Adjusted Holiday
2022-09-10,Mid-autumn / Moon Festival
2022-10-10,National Day
2023-01-01,New Year /Adjusted Holiday
2023-01-02,New Year /Adjusted Holiday
2023-01-18,No Trading. Market opens only for Clearing & Settlement
2023-01-19,No Trading. Market opens only for Clearing & Settlement
2023-01-20,Adjusted Holiday/ Chinese New Year’s Eve
2023-01-21,Chinese New Year’s Eve
2023-01-22,Chinese New Year
2023-01-23,Chinese New Year
2023-01-24,Chinese New Year
2023-01-25,Adjusted Holiday
2023-01-26,Adjusted Holiday
2023-01-27,Adjusted Holiday
2023-02-27,Adjusted Holiday/Peace Memorial Day
2023-02-28,Adjusted Holiday/Peace Memorial Day
2023-04-03,Adjusted Holiday/Children’s Day
2023-04-04,Adjusted Holiday/Children’s Day
2023-04-05,Tomb-sweeping Day
2023-05-01,Labor Day
2023-06-22,Dragon Boat Festival/Adjusted Holiday
2023-06-23,Dragon Boat Festival/Adjusted Holiday
2023-09-29,Mid-autumn / Moon Festival
2023-10-09,Adjusted Holiday/National Day
2023-10-10,Adjusted Holiday/National Day
2024-01-01,New Year
2024-02-06,No Trading. Market opens only for Clearing & Settlement
2024-02-07,No Trading. Market opens only for Clearing & Settlement
2024-02-08,Adjusted Holiday/ Chinese New Year’s Eve
2024-02-09,Chinese New Year’s Eve
2024-02-10,Chinese New Year
2024-02-11,Chinese New Year
2024-02-12,Chinese New Year
2024-02-13,Adjusted Holiday
2024-02-14,Adjusted Holiday
2024-02-28,Peace Memorial Day
2024-04-04,Children’s Day
2024-04-05,Tomb-sweeping Day
2024-05-01,Labor Day
2024-06-10,Dragon Boat Festival
2024-09-17,Mid-autumn / Moon Festival
2024-10-10,National Day
2025-01-01,New Year
2025-01-23,No Trading. Market opens only for Clearing & Settlement
2025-01-24,No Trading. Market opens only for Clearing & Settlement
2025-01-27,Adjusted Holiday / Chinese New Year’s Eve
2025-01-28,Chinese New Year’s Eve
2025-01-29,Chinese New Year
2025-01-30,Chinese New Year
2025-01-31,Chinese New Year
2025-02-28,Peace Memorial Day
2025-04-03,Adjusted Holiday
2025-04-04,Children’s Day & Tomb-sweeping Day
2025-05-01,Labor Day
2025-05-30,Adjusted Holiday
2025-05-31,Dragon Boat Festival
2025-09-28,Teacher’s Day
2025-09-29,Adjusted Holiday
2025-10-06,Mid-autumn / Moon Festival
2025-10-10,National Day
2025-10-24,Adjusted Holiday
2025-10-25,Taiwan Restoration Day
2025-12-25,Constitution Day
2026-01-01,New Year
2026-02-12,No Trading. Market opens only for Clearing & Settlement
2026-02-13,No Trading. Market opens only for Clearing & Settlement
2026-02-15,Chinese New Year
2026-02-16,Chinese New Year
2026-02-17,Chinese New Year
2026-02-18,Chinese New Year
2026-02-19,Chinese New Year
2026-02-20,Adjusted Holiday
2026-02-27,Adjusted Holiday
2026-02-28,Peace Memorial Day
2026-04-03,Adjusted Holiday
2026-04-04,Children’s Day
2026-04-05,Tomb-sweeping Day
2026-04-06,Adjusted Holiday
2026-05-01,Labor Day
2026-06-19,Dragon Boat Festival
2026-09-25,Mid-autumn / Moon Festival
2026-09-28,Teacher’s Day
2026-10-09,Adjusted Holiday
2026-10-10,National Day
2026-10-25,Taiwan Restoration Day
2026-10-26,Adjusted Holiday
2026-12-25,Constitution Day
